image_id,annotation
10433.png,balcony south house north common room 2 house exterior east south west 13 feet wide 4 feet long bathroom west house situated northwest corner master north living room west house exterior 9 feet wide 5 feet long common room 1 north house north west house exterior south living room east kitchen 12 feet wide 16 feet long common room 2 east house north living room hallway storage room east house exterior south balcony west master 13 feet wide 12 feet long kitchen north house north east house exterior south living room common room 1 west 16 feet 16 feet living room central house north common room 1 kitchen east house exterior main entry north corner west house exterior south bathroom master east narrow hallway leading common room 2 east hallway storage room west bathroom 3 feet exteriorfacing wall 28 feet wide 18 feet long plus 3 3 feet hallway master south house lshaped bathroom situated northwest corner north living room east hallway common room 2 house exterior south west 14 feet wide 16 feet long minus area bathroom storage room east house north living room 5 feet exteriorfacing wall east house exterior south common room 2 west living room hallway 10 feet wide 3 feet long
10457.png,balcony balcony north west region floor plan balcony left common room master room common room approximately 10 feet length 12 feet width bathroom bathroom located southern region floor plan bathroom left living room right master room bathroom approximately 7 feet length 4 feet width common room common room located north west section floor plan common room right balcony left living room common room approximately 8 feet length 12 feet width kitchen kitchen eastern region floor plan kitchen located right living room kitchen approximately 10 feet length 4 feet width living room living room eastern region floor plan living room located left kitchen right common room bathroom living room approximately 13 feet length 11 feet width master room master room south west region floor plan master room located left living room bathroom balcony common room master room approximately 11 feet length 12 feet width
10463.png,balcony south direction downside living room size 103 feet bathroom1 east direction upside master room size 66 feet bathroom2 north direction right kitchen size 66 feet common room1 north east corner upside bathroom1 size 1010 feet common room 2 north direction right bathroom 2 size 1010 feet kitchen north east corner upside living room size 105 feet living room south west corner left master room bathroom1 size 2015 feet master room south east corner downside batroom1 size 66 feet
10473.png,balcony located north east directly master room 15 feet length 3 feet width bathroom located south east corner living room 7 feet length 7 feet width common room located west left master room 15 feet length 15 feet width kitchen located north east corner right master room 7 feet length 15 feet width living room located south directly master room kitchen common room 36 feet length 13 feet width master room located north sidejust balcony 15 feet length 15 feet width
10500.png,bathroom located kitchen common room 1 size 10 x 5ft common room 1 located right living room common room 1 located portion plan size 10 x 75ft common room 2 located living room master room size 10 x 10ft located kitchen room size 10 x 10ft kitchen located bathroom common room 3 size 10 x 5ft living room located left portion plan size 20 x 225ft master room located nearby common room 2 living room size 15 x 75ft
10501.png,bathroom located center east master room common room1 square size 5 feet common room1 located south east corner bathroom size 10 feet width 12 feet length common room2 located north west corner adjacent living room size 7 feet width 10 feet length common room3 located center south kitchen common room1 size 12 feet length 8 feet width kitchen located south west corner near common room3 size 12 feet length 5 feet width living room occupied center area north common room2 master room area 380 sqr feet master room located north east corner adjacent living room square size 14 feet
10513.png,narrow extension common room stretching floor plans southern extremity balcony approximately 10 feet long 5 feet wide adjoined room common room bathroom smallest room floor plan nudged living room corner room floor plans central western edge lies directly opposite master bedroom small hall living room dividing approximately feet long feet wide common room covers southern portion floor plan extending living room bordered bathroom northwest master bedroom northeast mid sized room approximately 10 feet long 10 feet wide kitchen natural extension living rooms northeastern edge residing narrow strip northeastern corner floor plan smaller rooms floor plan approximately 12 feet long 5 feet wide spanning northern half floor plan northwestern edge eastern edge living room largest room relative rooms floor plan centrally located serving hub rooms 20 feet long 10 feet wide additional extensions smaller margins northern southern edges room located southeastern corner floor plan master bedroom living room approximately 10 feet long feet wide
10526.png,balcony located south west corner house access living room approximate area balcony 50 sqft size bathroom located middle east house bathroom located common room master room approximate area bathroom 40 sqft size common room located north east corner house common room situated living room approximate area common room 110 sqft size living room located west house south north approximate area living room 220 sqft size master room located south east corner house master room located right living room approximate area master room 110 sqft size
10533.png,balcony locationsouth relationshipthe location master area50 sqrt feet sides 10 feet width 5 feet length bathroom locationsouth east corner relationshipthe location ketchen living area100 sqrt feet sides 10 feet width 10 feet length comon room locationnorth west corner relationshipthe location kitchen bath area150 sqrt feet sides 10 feet width 15 feet length kitchen locationeast relationshipthe location bath living area50 sqrt feet sides 5 feet width 10 feet length living room locationcentral region relationshipthe location relatively center rooms area600 sqrt feet sides 30 feet width 20 feet length master room locationwest relationshipthe location com balcony area200 sqrt feet sides 20 feet width 10 feet length storage room locationsouth relationshipthe location master area50 sqrt feet sides 10 feet width 5 feet length
10589.png,balcony south house north common room 1 west master house exterior south east 10 feet wide 5 feet long bath west house north living room east living room hallway south master west 3 feet exteriorfacing wall west house exterior 10 feet wide 6 feet long common room 1 east house north living room east house exterior balcony south west living room hallway master 10 feet wide 13 feet long common room 2 north house north west house exterior east kitchen living room south 11 feet wide 10 feet long kitchen east house north east house exterior south living room common room 2 west 6 feet wide 10 feet long living room central house north common room 2 northwest 9 feet exteriorfacing wall northeast kitchen east house exterior main entry north corner south bath common room 1 hallway leads master west house exterior 28 feet wide 14 feet long plus 3 feet 6 feet hallway master south house northwest bath northeast living room hallway east common room 1 balcony 2 feet exteriorfacing wall west south house exterior 13 feet wide 15 feet long
10607.png,balcony 1 locationsouth relationshipthe location living area50 sqrt feet sides 10 feet width 5 feet length balcony 2 locationnorth relationshipthe location kitchen area30 sqrt feet sides 3 feet width 10 feet length bathroom locationeast relationshipthe location com1 master area25 sqrt feet sides 5 feet width 5 feet length comon room 1 locationnorth relationshipthe location bath balcony2 area100 sqrt feet sides 10 feet width 10 feet length comon room 2 locationnorth relationshipthe location living area100 sqrt feet sides 10 feet width 10 feet length kitchen locationnorth west corner relationshipthe location com2 area50 sqrt feet sides 5 feet width 10 feet length living room location west relationshipthe location com2 balcony1 area450 sqrt feet sides 15 feet width 30 feet length master room locationsouth east corner relationshipthe location living area200 sqrt feet sides 20 feet width 10 feet length
1064.png,11x5 bathroom located southwest corner adjacent living room common room sits 12x9 occupies southeast corner just south kitchen 10x10 kitchen located eastern master bedroom common room occupying western living room 30x18 adjacent rooms east bath south 11x14 master bedroom occupies northeast corner adjacent kitchen living room
10684.png,balcony located southwest corner living common 1 size room 4 feet width 19 feet length bathroom 1 located east inside master room northwest corner size room 4 feet width 6 feet length bathroom 2 located east bath 1 common 2 size room 4 feet width 4 feet length common room 1 located south living master size room 8 feet width 11 feet length common room 2 located northeast corner kitchen bath 2 size room 9 feet width 9 feet length kitchen located northwest corner living room common 2 size room 4 feet width 11 feet length living room located west rooms size room 10 feet width 17 feet length master room located southwest corner living room bath 1 common 1 size room 10 feet width 14 feet length
10695.png,balcony 1 located south east cornerbalcony 1 located nearby master roomthe floor area 60 square feet balcony 2 located north sidebalcony 2 located nearby common room 2the floor area 30 square feet bathroom 1 located west bathroom 1 located bathroom 2 common room 2the floor area 25 quare feet ref common room 1 located north west cornercommon room 1 located nearby bathroom 1the floor area 200 square feet common room 2 located north sidecommon room 2 located nearby common room 1the floor area 170 square feet living room located east living room located common room balcony1the floor area 600 square feet master room located south west cornerthe master room located nearby bathroom 2the floor area 250 square feet
10706.png,balcony located southern floor plan located living room roughly 100 square feet bathroom western floor plan located master bedroom common room living room bathroom roughly 50 square feet common room located northwestern corner floor plan located bathroom living room common room roughly 120 square feet kitchen north eastern floor plan branches living room kitchen roughly 80 square feet spacious living room center apartment branching kitchen common room bathroom master bedroom balcony roughly 450 square feet large master bedroom located west floor plan living room bathroom master bedroom roughly 225 square feet
10723.png,balcony south direction downside living room size 123 feet bathroom west direction upside master room size 64 feet common room north west direction left kitchen size 1212 feet kitchen north direction upside living room size 64 feet living room east direction right master room bathroom size 2512 feet master room south west corner left living room size 1212 feet
1073.png,bathroom located north bathroom common living room size room 5 feet width 8 feet length common room located northwest corner common room master room bath size room 10 feet width 15 feet length kitchen located northeast corner kitchen living room size kitchen 7 feet width 10 feet length living room located east sidethis living room actually cross shape model living room rooms size living room 15 feet width 35 feet length master room located southwest corner master room living room size master room 13 feet width 20 feet length
10733.png,balcony 1 north corner position near living room 12x5 sq ft balcony 2 west south corner position kitchen bathroom 5x6 sq ft bathroom south west center position rooms 5x5 sq ft common room 1 west north middle position living room master room 10x10 sq ft common room 2 west south middle position bathroom living room 10x8 sq ft kitchen south middle position living room balcony2 8x5 sq ft living room east south middle corner position south face near rooms 10x24 sq ft master room west corner position common rooms12 living room 10x10 sq ft
10743.png,locationthe absolute location bathroom 1 floor plan north relationshipthe absolute location bathroom 1 floor plan kitchen near common room 1 sizethe area bathroom 1 floor plan 10 sq rt feet locationthe absolute location bathroom 2 floor plan north east corner relationshipthe absolute location bathroom 2 floor plan common room 1 near master room sizethe area bathroom 2 floor plan 10 sq rt feet locationthe absolute location common room 1 floor plan north relationshipthe absolute location common room 1 floor plan bathroom 1bathroom 2 common room 2 sizethe area common room 1 floor plan 10 sq rt feet locationthe absolute location common room 2 floor plan south relationshipthe absolute location common room 2 floor plan master room common room 1 sizethe area common room 2 floor plan 10 sq rt feet locationthe absolute location kitchen floor plan north west corner relationshipthe absolute location kitchen floor plan near bathroom 1 sizethe area kitchen floor plan 10 sq rt feet locationthe absolute location living room floor plan south west corner relationshipthe absolute location living room floor plan bathroom 1 common room 2 sizethe area living room floor plan 10 sq rt feet locationthe absolute location master room floor plan south east corner relationshipthe absolute location master room floor plan bathroom 2 near common room 2 sizethe area master room floor plan 10 sq rt feet
10779.png,bathroom upper right corner master bath living area looks 10 x5 common room located kitchen master living room looks 20 x 15 kitchen smaller located living area looks 10x15 large open space looks make house looks like rooms accessible living area looks l shape 40x10 feet master lower right corner looks 20x15 bathroom
10799.png,total area length 10 feet 6 feet breath total area length 10 feet 6 feet breath total area length 30 feet total area length 10 feet 6 feet breath total area length 10 feet 6 feet breath kitchen north balcony south total area length 30 feet living room located far east covers 50 percentage entire plan exactly located located far north plan located left bath1 total area length 10 feet 6 feet breath
10825.png,balcony south west corner apartment living room measures 12 x 5 second balcony north east corner apartment kitchen measures 12 x 5 bathroom east apartment master bedroom measures 5 x 5 common room east apartment bathroom measures 10 x 12 kitchen north apartment second balcony measures 8 x 8 living room west apartment kitchen measures 15 x 25 master bedroom southeast corner apartment bathroom measures 12 x 15
10843.png,balcony located southwest corner living size room 2 feet width 10 feet length bathroom located east master common size room 5 feet width 5 feet length common room located north east corner living room size room 10 feet width 10 feet length kitchen located northwest corner common living room size room 8 feet width 8 feet length living room located west rooms size room 10 feet width 22 feet length master room located southeast corner living bath size room 10 feet width 11 feet length
1085.png,locationthe absolute location balcony floor plan north relationshipthe absolute location balcony floor plan near common room 2 sizethe area balcony floor plan 10 sq rt feet locationthe absolute location bathroom floor plan south east corner relationshipthe absolute location bathroom floor plan near kitchen sizethe area bathroom floor plan 10 sq rt feet locationthe absolute location common room 1 floor plan south west corner relationshipthe absolute location common room 1 floor plan kitchen sizethe area common room 1 floor plan 10 sq rt feet locationthe absolute location common room 2 floor plan north west corner relationshipthe absolute location common room 2 floor plan near master roombalcony opposite kitchen sizethe area common room 2 floor plan 10 sq rt feet locationthe absolute location kitchen floor plan south relationshipthe absolute location kitchen floor plan common room 1 bathroom sizethe area kitchen floor plan 10 sq rt feet locationthe absolute location living room floor plan west relationshipthe absolute location living room floor plan common room 2balconymaster roombathroomkitchen common room 1 sizethe area living room floor plan 10 sq rt feet locationthe absolute location master room floor plan north east corner relationshipthe absolute location master room floor plan common room 2 sizethe area master room floor plan 10 sq rt feet
1089.png,bathroom east positioned common room 1 master room size 12 feet 8 feet common room 1 approximately 14 feet 14 feet occupies north east corner adjoined west kitchen south bathroom common room 2 south west adjacent living room east size 14 feet 14 feet kitchen 16 feet width 10 feet length north west corner adjoined south living room common room 1 east living room approximate width 30 feet 32 feet length adjoined east common room 1 bathroom master room west common room 2 kitchen north master room eastern size 16 feet 16 feet bathroom north living room west
1092.png,balcony located northwest corner living room size room 4 feet width 7 feet length bathroom located south master common 2 size room 6 feet width 7 feet length common room 1 located east common 2 kitchen size room 8 feet width 9 feet length common room 2 located south east corner bath common 1 size room 10 feet width 11 feet length kitchen located northeast corner living common 1 size room 5 feet width 9 feet length living room located north rooms size room 10 feet width 18 feet length master room located south west corner living room bathroom size room 12 feet width 12 feet length
10922.png,bathroom locationnorth relationshipthe location com1 living area25 sqrt feet sides 5 feet width 5 feet length comon room 1 locationnorth west corner relationshipthe location com2 bath area150 sqrt feet sides 10 feet width 15 feet length comon room 2 locationwest relationshipthe location com1 master area150 sqrt feet sides 10 feet width 15 feet length kitchen locationnorth relationshipthe location bath living area50 sqrt feet sides 5 feet width 10 feet length living room location east relationshipthe location central relation rooms area600 sqrt feet sides 20 feet width 30 feet length master room locationsouth est corner relationshipthe location living area200 sqrt feet sides 20 feet width 10 feet length
10939.png,balcony 1 located south living room size 143 balcony 2 located northeast corner near common1 kitchen size 63 bathroom located middle west master common1 size 83 common room 1 located north west corner near bathroom living room size 1010 common room 2 located middle north near balcony2 size 1010 kitchen located east near common2 balcony2 size 612 living room located east east facing near rooms balcony2 size 1430 master room located south west corner near bathroom size 1012
10946.png,bathroom locate commonroom2 size 64 commonroom1 locate straight entrance size 88 common room2 locate left corner home size 1010 kitchen locate right entrance size 86 living room locate middle home size 1512 master room locate left living room size 1010
10949.png,balcony 4 feet long 16 feet wide living room northern border rests south end home bathroom middle room east wall living room west 6 feet long 8 feet wide common room northeastern corner structure dimensions 16 feet long 12 feet wide kitchen west room kitchen northern room home nestles northwestern corner borders common room east measures 4 ft long 8 ft wide living room touches west house borders kitchen north 32 feet long 16 feet wide master room sits southeastern corner house bathroom accessible north measures 20 feet long 14 feet wide
1097.png,bathroom 6 feet long 8 feet wide west wall house snug niche borders living room north west common room 16 x 14 length longer number width borders living room west kitchen southeast area house common room hugs north border approximately 14 x 14 having equal length width living room occupies northwest house common room eastern border dimensions 34 feet long 14 feet wide master room fits southern extension home kitchen bordering northeast corner measuring 14 feet long 12 feet wide
10984.png,balcony south west corner downside common room 2 size 122 feet bathroom1 east direction upside master room size 103 feet bathroom2 east direction upside bathroom 1size 103 feet common room1 west direction upside living room size 88 feet common room2 south west direction downside living room size 1212 feet kitchen north direction upside living room size 103 feet living room west east direction upside common room2 size 2515 feet master room south east corner bathroom 1 1510 feet
11013.png,north facing wall balcony located approximately 12x3 living room afford access balcony making fireexit worthy bathroom located end 15x4 hallway adjacent living room bathroom approximately 10 feet long 4 feet wide located western wall house north master bedroom south 1st common area common room approximately 15 feet wide 10 feet long located south wall home north bathroom east common room 2 second common room approximately 9 feet wide 10 feet long located south wall home kitchen directly north room directly adjacent hallway kitchen approximately 9 feet wide 12 feet long located north wall home directly east master bedroom balcony does touch kitchen extended repair afford viable exit case kitchen living room approximately 30x12 hallway connecting rest house hallway approximately 15 long 4 wide door located southwest corner room south wall home north facing wall balcony located approximately 12x3 master bedroom approximately 15 feet wide 10 feet long located north wall home west kitchen roughly size common room
11033.png,bathroom entrance living room 3 feet length 3 feet width aspect ratio 1 1bathroom near room common room common room northwest corner roomit entrance living room 8 feet length 10 feet width aspect ratio 4 5common room near room bathroom kitchen entrance living room 8 feet length 2 feet width aspect ratio 4 1kitchen room common room living room entrance north big place compared rooms roomsit 10 feet length 30 feet width master room entrance living room 12 feet length 15 feet width aspect ratio 4 5master room kitchen storage room small place 1 feet length 1 feet width aspect ratio 1 1
11039.png,balcony lies absolute south living room balcony 10 x 5 bathroom lies immediately left entering door right adjacent kitchen bathroom lies left corner living room bathroom 8 x 5 entrance common room straight ahead hallway living room common room 1 10 x 15 common room 1 lies south master bedroom right common room 2 common room 2 lies left living room size 10 x 10lies right common room 1 south kitchen kitchen immediately left bathroom living room kitchen 7 x 10 right master bedroom north second common room enter living room soon door living room roughly 15 x 25 additional 10 foot hallway leading kitchen master bedroom addition bedrooms bathroom attached north living room adjacent kitchen right entrance attached living room balcony south master bedroom right end hallway living room master bedroom 15 x 10 master bedroom left kitchen north common room
11045.png,balcony located kitchen room size 10 x 25ft bathroom located nearby living room area master room common room size 5 x 5ft common room located nearby living room size 10 x 10ft kitchen located nearby living room master room size 5 x 5ft living room portion plan size approximately 10 x 20ft master room located nearby kitchen room size approximately 10 x 10ft
11046.png,bathroom located middle west bathroom relationship common room 2 living room bathroom size 10x10 common room 1 located north east corner room relationship living room common room 1 size 12x12 common room 2 located south west corner master room bathroom room size 16x18 west facing living room located north west corner living room middle bathroom common room 1 living room size 16x20 master room located south east corner master room common room 2 living room master room size 12x16
11113.png,balcony situated south east corner living room size 15 feet length 4 feet width bathroom located east common room size 6 feet width 7 feet length common room located north west corner adjacent living room size 11 feet width 13 feet length kitchen located north east corner near living room bathroom size 10 feet length 7 feet width living room occupied east area plan north south excluding balcony kitchen areas opposite master room area 600 sqr feet master room located south west corner adjacent living room size 12 feet width 15 feet length
11133.png,location balcony south floor plan relationship south living room size 40 square feet location bathroom 1 eastern floor plan relationship east living room size 50 square feet location bathroom 2 north west floor plan relationship west kitchen size 20 square feet location common room 1 north east floor plan relationship north bathroom1 size 140 square feet location common room 2 south west floor plan relationship west living room size 180 square feet location kitchen north floor plan relationship north living room west common room 1 size 80 square feet location living room western central floor plan relationship west common room master room bathroom size 495 square feet location master room south east plan relationship master room eastern living room size 170 square feet
